id,account_id,amount,transaction_requested_at,transaction_completed_at,status
1783896702851019520,2646715789379666432,1060.66,1601172258,1601172264,completed
1660670504873856768,39719195379360320,1465.36,1596544739,1596544748,completed
2875190090279428608,2388965041970796544,459.63,1592831147,1592831152,completed
2948681858559168000,412510466362772032,755.51,1593764887,1593764896,completed
3203557528300659200,3138902864818696704,347.74,1602115452,1602115464,completed
2435772965489733632,3159540850757342720,176.35,1589179480,1589179492,completed
2852425307657879552,2812168112653474816,1160.45,1581840002,1581840007,completed
1546104054864506880,918569065983027328,1030.89,1605573255,1605573271,completed
3104422110606808576,918569065983027328,529.56,1595419431,1595419433,completed
993128987560222464,257179887103017792,591.5,1606420108,1606420111,completed
3373257341321145856,257179887103017792,449.05,1580253066,1580253080,completed
1531849789040966144,1095295572704434176,1507.66,1578469571,1578469574,completed
2436569880339799552,1095295572704434176,359.96,1583317407,1583317414,completed
1051346512836714496,231771070487223648,1384.15,1601326175,1601326186,completed
772742214931187584,1372963006028127232,1553.89,1586641266,1586641277,completed
240213822812952864,1372963006028127232,921.73,1590232561,1590232564,completed
270576276546067008,1493429928567988480,1795.0,1586892969,1586892974,completed
883011699093598464,507987780945996736,971.68,1586156341,1586156354,completed
171187722130909184,414591092625732800,1661.28,1580730266,1580730285,completed
2630213219592375808,712444109815960448,398.8,1588371307,1588371318,completed
3030819847927777280,712444109815960448,1306.47,1606504029,1606504046,completed
1662621520023171584,712444109815960448,790.28,1582734375,1582734377,completed
1267481339252980992,2669626301710158848,615.68,1597472639,1597472641,completed
3008420022236998144,242604038203577184,492.33,1600833748,1600833760,completed
1674540686608132608,2922610483805172224,1776.69,1579668266,1579668267,completed
1017102930390028032,2922610483805172224,1111.49,1582490353,1582490366,completed
3363775217907684864,2922610483805172224,1612.07,1581868028,1581868030,completed
2208301881727712768,2352407409595471360,957.0,1583478613,1583478629,completed
2096499033060437760,831465696157769088,993.46,1585182553,1585182569,completed
2890153109585537536,1836359271124509184,1511.44,1607823164,1607823169,completed
2928133561036309504,1891455380300905472,618.6,1608498013,1608498016,completed
2735173327070286848,1891455380300905472,1275.69,1579504016,1579504025,completed
